date,name,code,open,high,low,close,volume,turnover,turnover_rate,pos_p(mean),pos_p(median)
2021/10/18,创业板指,399006,3287.04,3287.04,3231.05,3276.48,95237732,1.98E+11,2.22,0.301466667,0.07385
2021/10/19,创业板指,399006,3293.8,3310.02,3273.55,3297.29,97524324,1.98E+11,2.27,0.346324176,0.1364
2021/10/20,创业板指,399006,3304.55,3320.33,3276.82,3285.12,101313044,2.07E+11,2.36,0.375009167,0.1964
2021/10/21,创业板指,399006,3286.27,3304.01,3256.85,3279.49,99955587,1.94E+11,2.33,0.290245185,0.0979
2021/10/22,创业板指,399006,3290.54,3309.56,3268.94,3284.91,102248579,1.99E+11,2.38,0.324375229,0.0768
2021/10/25,创业板指,399006,3303.22,3342.22,3302.49,3338.62,104409541,2.16E+11,2.43,0.368119792,0.156
2021/10/26,创业板指,399006,3370.79,3370.79,3322.19,3327.54,115421051,2.33E+11,2.69,0.356607207,0.2064
2021/10/27,创业板指,399006,3321.64,3324.35,3283.73,3308.96,116326899,2.28E+11,2.71,0.275049206,0.0513
2021/10/28,创业板指,399006,3301.91,3335.93,3266.31,3278.36,106916756,2.24E+11,2.49,0.301926984,0.0443
2021/10/29,创业板指,399006,3275.83,3358.35,3253.04,3350.67,114832781,2.44E+11,2.67,0.337902069,0.1331
2021/11/1,创业板指,399006,3341.47,3374.54,3302.96,3331.91,118892882,2.48E+11,2.77,0.331049505,0.1637
2021/11/2,创业板指,399006,3329.41,3373.18,3307.5,3339.6,126929526,2.55E+11,2.95,0.190569748,0.0345
2021/11/3,创业板指,399006,3334.41,3363.75,3301.44,3327.09,107344993,2.17E+11,2.5,0.309485965,0.0674
2021/11/4,创业板指,399006,3351.3,3380.21,3344.76,3362.25,120315843,2.41E+11,2.8,0.346689474,0.18635
2021/11/5,创业板指,399006,3354.38,3383.3,3347.16,3352.75,146071644,2.66E+11,3.4,0.414984545,0.3129
2021/11/8,创业板指,399006,3353.89,3393.39,3341.6,3380.29,142140736,2.63E+11,3.31,0.283608247,0.0495
2021/11/9,创业板指,399006,3400.97,3409.94,3377.51,3409.94,135163195,2.45E+11,3.14,0.357355645,0.2075
2021/11/10,创业板指,399006,3388.05,3403.31,3338.46,3399.66,146438326,2.69E+11,3.41,0.31299,0.0605
2021/11/11,创业板指,399006,3396.65,3443.96,3393.98,3433.24,160049961,2.97E+11,3.72,0.443979675,0.335
2021/11/12,创业板指,399006,3436.26,3446.04,3409.48,3430.14,159366787,2.91E+11,3.71,0.421978261,0.27815
2021/11/15,创业板指,399006,3435.62,3435.68,3387.53,3401.87,163286152,3.06E+11,3.8,0.319375817,0.1038
2021/11/16,创业板指,399006,3400.34,3423.52,3389.55,3393.71,163438149,2.98E+11,3.8,0.370897778,0.1651
2021/11/17,创业板指,399006,3413.43,3425.57,3400.77,3421.33,150039572,2.69E+11,3.49,0.448004673,0.3451
2021/11/18,创业板指,399006,3416.64,3416.64,3374.01,3383.91,158807898,2.87E+11,3.69,0.302680769,0.0957
2021/11/19,创业板指,399006,3385.83,3419.75,3378.38,3418.96,143651046,2.72E+11,3.34,0.35385566,0.13655
2021/11/22,创业板指,399006,3434.57,3505.73,3430.59,3505.73,151512707,3.18E+11,3.52,0.382657778,0.163
2021/11/23,创业板指,399006,3501.22,3508.9,3482.69,3492.77,155539469,3.15E+11,3.62,0.368275658,0.14985
2021/11/24,创业板指,399006,3488.38,3501.58,3469.36,3478.66,160103457,3.26E+11,3.72,0.351904615,0.13385
2021/11/25,创业板指,399006,3477.6,3490.62,3462.13,3474.45,159861102,3.15E+11,3.72,0.380759184,0.1869
2021/11/26,创业板指,399006,3470.21,3501.34,3461.19,3468.87,154450650,3.03E+11,3.59,0.350840394,0.1213
2021/11/29,创业板指,399006,3455.61,3522.5,3455.61,3503.41,147618156,3.12E+11,3.43,0.385674921,0.2284
2021/11/30,创业板指,399006,3520.29,3520.29,3472.58,3495.59,160870671,3.18E+11,3.74,0.40472695,0.2523
2021/12/1,创业板指,399006,3492.44,3501.33,3459.51,3473.37,159308703,2.98E+11,3.71,0.362169886,0.1125
2021/12/2,创业板指,399006,3464.92,3487.94,3456.31,3466.91,162528852,2.91E+11,3.78,0.335579535,0.1175
2021/12/3,创业板指,399006,3467.41,3482.46,3446.95,3478.67,134108854,2.57E+11,3.12,0.32568961,0.07305
2021/12/6,创业板指,399006,3460.96,3479.86,3403.16,3405.93,139565612,2.60E+11,3.25,0.30369383,0.0923
2021/12/7,创业板指,399006,3429.76,3429.84,3338,3368.78,130414423,2.56E+11,3.03,0.296689482,0.09495
2021/12/8,创业板指,399006,3388.32,3428.23,3378.28,3424.7,117223017,2.30E+11,2.73,0.326841767,0.1366
2021/12/9,创业板指,399006,3422.38,3463.65,3400.38,3459.32,132985741,2.62E+11,3.09,0.389591724,0.1197
